date,region,count
2021-02-28,AB,<20
2021-02-28,BC,<20
2021-02-28,MB,<20
2021-02-28,NB,<20
2021-02-28,NL,41.0
2021-02-28,NT,<20
2021-02-28,NS,<20
2021-02-28,NU,<20
2021-02-28,ON,202.0
2021-02-28,PE,<20
2021-02-28,QC,20.0
2021-02-28,SK,59.0
2021-02-28,YT,<20
2021-02-28,NPTS,<20
2021-03-07,AB,<20
2021-03-07,BC,<20
2021-03-07,MB,<20
2021-03-07,NB,<20
2021-03-07,NL,21.0
2021-03-07,NT,<20
2021-03-07,NS,<20
2021-03-07,NU,<20
2021-03-07,ON,432.0
2021-03-07,PE,<20
2021-03-07,QC,53.0
2021-03-07,SK,84.0
2021-03-07,YT,<20
2021-03-07,NPTS,<20
2021-03-14,AB,<20
2021-03-14,BC,<20
2021-03-14,MB,<20
2021-03-14,NB,<20
2021-03-14,NL,<20
2021-03-14,NT,<20
2021-03-14,NS,<20
2021-03-14,NU,<20
2021-03-14,ON,496.0
2021-03-14,PE,<20
2021-03-14,QC,58.0
2021-03-14,SK,65.0
2021-03-14,YT,<20
2021-03-14,NPTS,<20
